date,time,lesson,accuracy,wpm,idle_time

15-11-22,82004,TestyThingamabob,100.0,96.0,0
15-11-22,82005,Fake_Lesson,128.0,420.0,0
18-11-22,75134,TestyThingamabob,93.0,92.0,0
18-11-22,75215,TestyThingamabob,100.0,99.0,0
18-11-22,75328,TestyThingamabob,100.0,96.0,0
18-11-22,75515,TestyThingamabob,100.0,99.0,0
18-11-22,78229,TestyThingamabob,100.0,96.0,0
18-11-22,79734,TestyThingamabob,0.0,0.0,0
18-11-22,81808,Home Row Intro,98.0,64.0,0
19-11-22,53835,Spacebar and Home Row,92.0,26.0,0
19-11-22,53895,TestyThingamabob,100.0,96.0,0
19-11-22,53926,TestyThingamabob,92.0,80.0,0
19-11-22,54018,TestyThingamabob,0.0,0.0,0
19-11-22,54047,TestyThingamabob,0.0,0.0,0
19-11-22,54219,TestyThingamabob,0.0,0.0,2
19-11-22,54340,TestyThingamabob,100.0,96.0,95
28-11-22,28808,TestyThingamabob,100.0,70.0,0
28-11-22,44481,TestyThingamabob,100.0,72.0,5
28-11-22,44583,TestyThingamabob,92.0,80.0,0
28-11-22,44783,TestyThingamabob,100.0,15.0,0
28-11-22,44834,Home Row Intro,40.0,-91.0,0
28-11-22,46209,TestyThingamabob,52.0,46.0,12
28-11-22,46348,TestyThingamabob,50.0,0.0,0
