Name,Location
,
Home Row Intro,Home Row Intro
Spacebar and Home Row,Home Row
Letters E and H,Letters E & H
Letters O and R,Letters O & R
Review-L04,Review-L04
Letters I and T,Letters I & T
Left Shift and Period,Left Shift & Period
Letters U and C,Letters U & C
Review-L08,Review-L08
Letters N and W,Letters N & W
Letter G and Right Shift,G & Right Shift
Letters B and P,Letters B & P
Review-L12,Review-L12
Letters M and X,Letters M & X
Letters Y and Z,Letters Y & Z
Letter Q and Comma,Q & Comma
Review-L16,Review-L16
Letter V and Colon,V & Colon
Caps Lock and Question Mark,CAPS LOCK & Question Mark
Quotations & Apsotrophe & Hyphen,Quotations & Apostrophe & Hyphen
Evaluate Speed-01,Evaluate Speed
Review 1-01,Review 1
Review 2-01,Review 2
Review 3,Review 3
Review 4,Review 4
Evaluate Speed-02,Evaluate Speed
Review 5,Review 5
Review 6,Review 6
Review 7,Review 7
Numbers 1 and 7,1 & 7
Numbers 4 and 8,4 & 8
Numbers 5 and 9,5 & 9
Numbers 3 and 0,3 & 0
Numbers 2 and 6,2 & 6
Evaluate Speed-03,Evaluate Speed
Letters 1,Letters 1
Letters 2,Letters 2
Review Numbers,Numbers 2
Evaluate Speed-04,Evaluate Speed
Dollar Sign and Forward Slash,Dollar Sign & Forward Slash
Percent and Hyphen,Percent & Hyphen
Number Sign and Ampersand,Number Sign & Ampersand
Open and Close Parentheses,Open and Close Parentheses
At Symbol and Asterisk,At Symbol & Asterisk
Exclamation & Greater & Less Than,Exclamation & Greater & Less Than
Evaluate Speed-05,Evaluate Speed
Bible Verses 1-1,Bible Verses 1
All Symbols,All Symbols
Review 2,Review 2
Review 5-1,Review 5
Bible Verses 2-1,Bible Verses 2
Evaluate Speed-06,Evaluate Speed
Bible Verses 1-2 WB,Bible Verses 1 WB
Build Speed 1-1 WB,Build Speed 1 WB
Build Speed 2-1 WB,Build Speed 2 WB
Review 5-2 WB,Review 5 WB
Bible Verses 2-2 WB,Bible Verses 2 WB
Evaluate Speed-07 WB,Evaluate Speed WB
Bible Verses 1-3 WB,Bible Verses 1 WB
Build Speed 1-2 WB,Build Speed 1 WB
Build Speed 2-2 WB,Build Speed 2 WB
Review 5-3 WB,Review 5 WB
Bible Verses 2-3 WB,Bible Verses 2 WB
Evaluate Speed-08 WB,Evaluate Speed WB
Bible Verses 1-4 WB,Bible Verses 1 WB
Build Speed 1-3 WB,Build Speed 1 WB
Build Speed 2-3 WB,Build Speed 2 WB
Review 5-4 WB,Review 5 WB
Bible Verses 2-4 WB,Bible Verses 2 WB
Evaluate Speed-09 WB,Evaluate Speed WB
Bible Verses 1-5 WB,Bible Verses 1 WB
Build Speed 1-4 WB,Build Speed 1 WB
Build Speed 2-4 WB,Build Speed 2 WB
Review 5-5 WB,Review 5 WB
Bible Verses 2-5 WB,Bible Verses 2 WB
Evaluate Speed-10 WB,Evaluate Speed WB
Evaluate Speed-11 WB,Evaluate Speed WB
Bible Verses Advanced WB,Bible Verses Advanced WB
Short,Short
Review 1,Review 1B
TestyThingamabob,test1
Numbers 1,Review All Numbers
Review 3 WB,Review 3 WB
Short Day Special WB,Short Day Special WB
Bible Verses Advanced WB,Bible Verses Advanced WB
