Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/18/2021,Home Row Intro,97,14,24
8/19/2021,Letters E and H,12,-389,1
8/19/2021,Home Row Intro,26,-538,1
8/19/2021,Home Row Intro,80,-28,1
8/19/2021,Letters E and H,70,-160,2
8/19/2021,Spacebar and Home Row,67,-112,4
8/19/2021,Letters E and H,64,-126,4
8/19/2021,Letters E and H,67,-98,4
8/19/2021,Home Row Intro,97,25,0
8/19/2021,Home Row Intro,88,6,17
8/24/2021,Spacebar and Home Row,64,-314,2
8/24/2021,Spacebar and Home Row,70,-209,2
8/24/2021,Spacebar and Home Row,63,-238,2
8/24/2021,Spacebar and Home Row,62,-217,2
8/24/2021,Spacebar and Home Row,56,-230,2
8/24/2021,Spacebar and Home Row,62,-192,5
8/24/2021,Spacebar and Home Row,96,25,16
8/25/2021,Letters E and H,97,26,58
8/26/2021,Letters O and R,98,29,33
8/27/2021,Review-L04,97,24,23
